continent,location,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Asia,Kazakhstan,KAZ,2023-01-07,1488306.0,0.0,0.0,19060.0,0.0,0.429,76724.722,0.0,0.0,982.576,0.0,0.022,-0.01,,,,,,,,,11965068.0,52729.0,623.295,2.747,39955.0,2.081,0.03,33.4,tests performed,20918681.0,10849289.0,10613754.0,2514071.0,12492.0,10734.0,107.84,55.93,54.72,12.96,553.0,302.0,0.002,5.56,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,81955.9,22.41,-4.26,4224.96692699937
Asia,Kuwait,KWT,2023-01-07,662747.0,0.0,0.0,2570.0,0.0,0.0,155250.574,0.0,0.0,602.031,0.0,0.0,0.06,,,,,,,,,8208880.0,8163.0,1931.449,1.921,6104.0,1.436,0.0165,60.4,tests performed,8255386.0,3454823.0,3343442.0,1457121.0,332.0,108.0,193.39,80.93,78.32,34.13,25.0,48.0,0.001,11.11,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,6579.4,44.08,-2.92,1541.24518668336
Asia,Kyrgyzstan,KGZ,2023-01-07,206567.0,0.0,1.429,2991.0,0.0,0.0,31153.492,0.0,0.215,451.089,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,3374339.0,1638078.0,1361913.0,,98.0,628.0,50.89,24.7,20.54,,95.0,146.0,0.002,11.11,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,15646.8,17.23,-37.75,2359.77897092897
Asia,Laos,LAO,2023-01-07,217863.0,6.0,9.429,758.0,0.0,0.0,28934.679,0.797,1.252,100.671,0.0,0.0,0.54,,,,,,,,,1030237.0,671.0,138.751,0.09,113.0,0.015,0.1062,9.4,tests performed,11111066.0,5888649.0,5222417.0,,11603.0,2251.0,147.57,78.21,69.36,,299.0,954.0,0.013,28.61,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
Asia,Lebanon,LBN,2023-01-07,1223536.0,179.0,145.857,10752.0,2.0,0.857,222876.695,32.606,26.569,1958.561,0.364,0.156,1.42,,,,,,,,,4731376.0,14038.0,846.002,2.51,14688.0,2.626,,,tests performed,5814699.0,2740227.0,2414223.0,660249.0,292132.0,141.0,105.92,49.92,43.98,12.03,26.0,48.0,0.001,16.67,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,15149.6,30.18,57.47,2759.6186634568
Asia,Macao,MAC,2023-01-07,1569.0,104.0,109.0,13.0,0.0,2.286,2256.969,149.602,156.794,18.7,0.0,3.288,,,,,,,,,,,,,,,,,,,1788988.0,677097.0,639016.0,472875.0,1171.0,798.0,257.34,97.4,91.92,68.02,1148.0,304.0,0.044,39.81,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,594.8,9.99,14.53,855.605742397652
Asia,Malaysia,MYS,2023-01-07,5029908.0,571.0,461.571,36874.0,4.0,3.0,148207.79,16.825,13.6,1086.504,0.118,0.088,0.68,34.0,1.002,371.0,10.932,,,723.0,21.303,60647556.0,29997.0,1806.391,0.893,36861.0,1.098,0.0555,18.0,people tested,72384095.0,28122153.0,27533596.0,16946498.0,5251.0,4934.0,213.28,82.86,81.13,49.93,145.0,138.0,0.0,13.89,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,34734.4,6.86,1.08,1023.45980708002
Asia,Maldives,MDV,2023-01-07,185693.0,0.0,2.143,311.0,0.0,0.0,354512.617,0.0,4.091,593.74,0.0,0.0,0.13,,,,,,,,,2211113.0,2103.0,4240.251,4.033,57.0,0.109,0.0,13.9,samples tested,951419.0,399151.0,385081.0,167187.0,1683.0,1.0,181.64,76.2,73.52,31.92,2.0,0.0,0.0,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,160.6,14.41,3.78,306.606745348398
Asia,Mongolia,MNG,2023-01-07,1007765.0,0.0,71.286,2136.0,0.0,0.0,296543.375,0.0,20.976,628.536,0.0,0.0,0.21,,,,,,,,,7408778.0,4118.0,2213.041,1.23,487.0,0.145,0.2353,4.3,samples tested,5492919.0,2272965.0,2175617.0,1044337.0,1100.0,143.0,161.63,66.88,64.02,30.73,42.0,0.0,0.0,11.11,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,657.0,1.28,2.98,193.327807159485
Asia,Myanmar,MMR,2023-01-07,633713.0,4.0,4.286,19490.0,0.0,0.0,11696.586,0.074,0.079,359.731,0.0,0.0,0.81,,,,,,,,,8332037.0,16383.0,154.876,0.305,5100.0,0.095,0.0016,626.3,samples tested,64549994.0,34777314.0,27545329.0,2227351.0,3800.0,229043.0,119.14,64.19,50.84,4.11,4227.0,177257.0,0.327,37.04,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
